nome,preco,quantidade,tipo,data_scraping
Adesivo | ropz (Holográfico) | Xangai 2024,5.9,22,Autographs,2024-12-17
Adesivo | Djoko (Holográfico) | Xangai 2024,2.46,26,Autographs,2024-12-17
Adesivo | karrigan (Dourado) | Xangai 2024,19.86,13,Autographs,2024-12-17
Adesivo | sh1ro (Purpurinado) | Xangai 2024,0.15,101,Autographs,2024-12-17
Adesivo | felps (Dourado) | Xangai 2024,4.18,4,Autographs,2024-12-17
Adesivo | Heavygod (Purpurinado) | Xangai 2024,0.09,17,Autographs,2024-12-17
Adesivo | TRY (Purpurinado) | Xangai 2024,0.1,15,Autographs,2024-12-16
Adesivo | exit (Purpurinado) | Xangai 2024,0.21,24,Autographs,2024-12-17
Adesivo | fEAR | Xangai 2024,0.09,41,Autographs,2024-12-14
Adesivo | Twistzz (Holográfico) | Xangai 2024,0.0,0,Autographs,2024-12-17
Adesivo | YEKINDAR (Holográfico) | Xangai 2024,4.56,17,Autographs,2024-12-14
Adesivo | iM (Dourado) | Xangai 2024,5.35,14,Autographs,2024-12-14
Adesivo | bodyy | Xangai 2024,0.04,45,Autographs,2024-12-17
Adesivo | huNter- (Dourado) | Xangai 2024,27.86,12,Autographs,2024-12-14
Adesivo | Jame (Holográfico) | Xangai 2024,2.94,8,Autographs,2024-12-17
Adesivo | fEAR (Holográfico) | Xangai 2024,2.22,8,Autographs,2024-12-17
Adesivo | L1haNg (Purpurinado) | Xangai 2024,0.32,29,Autographs,2024-12-17
Adesivo | KSCERATO | Xangai 2024,0.25,45,Autographs,2024-12-16
Adesivo | vexite (Holográfico) | Xangai 2024,1.2,14,Autographs,2024-12-16
Adesivo | jL (Holográfico) | Xangai 2024,1.77,30,Autographs,2024-12-17
Adesivo | Brollan (Dourado) | Xangai 2024,5.77,13,Autographs,2024-12-17
Adesivo | FL1T (Dourado) | Xangai 2024,3.84,7,Autographs,2024-12-17
Adesivo | s-chilla (Purpurinado) | Xangai 2024,0.17,16,Autographs,2024-12-17
Adesivo | Graviti (Dourado) | Xangai 2024,7.17,9,Autographs,2024-12-17
Adesivo | NertZ (Dourado) | Xangai 2024,6.58,14,Autographs,2024-12-16
Adesivo | Ax1Le (Purpurinado) | Xangai 2024,0.1,16,Autographs,2024-12-17
Adesivo | Heavygod (Holográfico) | Xangai 2024,2.5,12,Autographs,2024-12-14
Adesivo | siuhy (Dourado) | Xangai 2024,4.1,16,Autographs,2024-12-17
Adesivo | jambo (Purpurinado) | Xangai 2024,0.15,27,Autographs,2024-12-16
Adesivo | aliStair (Dourado) | Xangai 2024,4.91,12,Autographs,2024-12-17
Adesivo | ztr (Purpurinado) | Xangai 2024,0.11,50,Autographs,2024-12-17
